,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital_instability_1983_(1983),marital_instability_in_1988_(1988),marital_stability_1992_(1992),marital_instability_2000_(2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
1,BOTH,BOTH,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,"YES, SPOUSE",NO,NO,"YES,SELF",NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$20,000 - \$29,999","\$20,000 - \$29,999"
3,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,BOTH,"YES,SPOUSE",NO,NO,NO,NO,NO,0.7799999713897705,0.6000000238418579,0.3000000119209289,0.0,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
6,NO,NO,"YES,SELF","YES, SELF",YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.4799999892711639,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
8,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
18,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.3000000119209289,"\$25,000 - \$29,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
20,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,1.0399999618530271,0.3000000119209289,0.3000000119209289,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
22,NO,NO,NO,NO,BOTH,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999","Under \$20,000"
24,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.0,0.0,"\$40,000 - \$49,999","Under \$20,000","Under \$20,000","\$20,000 - \$29,999"
27,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$25,000 - \$29,999"
30,YES SPOUSE,"YES,SPOUSE",BOTH,"YES, SPOUSE",YES SPOUSE,NO,NO,NO,YES SELF,NO,NO,NO,NO,"YES,SPOUSE",BOTH,NO,NO,NO,"YES,SPOUSE","YES, SPOUSE",0.6000000238418579,0.699999988079071,1.2300000190734863,0.8500000238418579,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
